,a_mean,a_std,a_range,a_median,a_skew,a_kurtosis,b_dominant_freq,b_total_power,b_band_power_low,b_band_power_mid,b_band_power_high,b_spectral_entropy,b_spectral_flatness,c_avg_time_between_peaks,c_std_time_between_peaks,c_avg_time_between_troughs,c_std_time_between_troughs,c_mean_peak_to_trough_time,c_mean_trough_to_peak_time,c_oscillation_rate,d_slope_magnitude,d_poly_mag_c0,d_poly_mag_c1,d_poly_mag_c2,d_poly_mag_c3,d_poly_peak_c0,d_poly_peak_c1,d_poly_peak_c2,d_poly_peak_c3,d_poly_trough_c0,d_poly_trough_c1,d_poly_trough_c2,d_poly_trough_c3,d_mean_magnitude,d_std_magnitude,d_initial_magnitude,d_final_magnitude,d_mean_peak_to_trough_magnitude,d_mean_trough_to_peak_magnitude,d_initial_peak_to_trough_magnitude,d_final_peak_to_trough_magnitude,d_initial_trough_to_peak_magnitude,d_final_trough_to_peak_magnitude,e_autocorr_lag1,e_autocorr_lagk,e_hurst_exponent,f_early_mean,f_late_mean,f_early_std,f_late_std,f_early_autocorr,f_late_autocorr,f_delta_mean,g_asymmetry_index,g_sharpness_index
Mov. 2 - V,0.590975842026219,0.01949727195006406,0.08128785395523619,0.5893251578430931,0.17444856417724083,-0.4527020150233252,1.0500000000000003,0.0003801436134947547,3.081487911019578e-35,4.023512936920949e-06,7.269575500004548e-05,0.8155698838950065,0.22141908354487652,2.6923076923076925,0.7216024245882199,2.6923076923076925,0.7216024245882199,1.4615384615384615,1.2142857142857142,0.7,-0.0009063461482023858,0.09584315135104947,-0.008932212085553962,0.0003901359031812448,-5.539965931085186e-06,0.6538040405653611,-0.007687173834620722,0.000365089225827456,-5.1836172650988115e-06,0.5535946397713145,0.0018828604255787741,-4.660998273569491e-05,5.11952360149688e-07,0.032427492633036785,0.019252002312921433,0.059270875958645476,0.02032517712490974,0.03152527574233757,0.033265265460114636,0.05136747357498447,0.017501462204425833,0.052496531058364604,0.02258186380895862,-0.1818475846885928,0.0485310341109384,0.44089452843782545,0.5910181013409432,0.5905101325946255,0.023832170491530438,0.01671014056578608,-0.1823792877665957,-0.4179167856106477,-0.0005079687463177551,0.8308270676691729,0.07959319651813235
Mov. 2 - W,0.5905018711984057,0.022908564432917635,0.08975471386855371,0.5884767579125076,0.12398395363691819,-0.8204185844982548,1.1707317073170733,0.000524802324377139,5.939334224689728e-34,3.704538144488856e-06,0.00012589570772808203,0.8605642242634326,0.2986969540502451,2.9166666666666665,0.9537935951882998,2.9166666666666665,1.3202482931462383,1.3333333333333333,1.5384615384615385,0.6341463414634146,-0.0004236342957703033,0.028983930668675623,0.0039046385277027324,-0.00021969737809358106,3.171856486719016e-06,0.5944719466117973,0.0020987653774171863,-7.64422894737971e-05,7.399114024630033e-07,0.5602834523995159,-0.0006146852290405523,7.202339292557126e-05,-1.1993105283852528e-06,0.04023806616234007,0.018552925813174193,0.0400797553066059,0.036126982902741855,0.04022115529503681,0.04025367619369691,0.04459527109877074,0.038950697823225765,0.04177298446099823,0.0270959513184121,-0.1141831623814039,0.1344122393047375,0.38835606071607776,0.5962681115174575,0.58305878168913,0.02529187947122691,0.016433065990821293,0.03580870851072912,-0.17526511046389653,-0.013209329828327565,1.153846153846154,0.07282099404191866
Mov. 2 - X,0.5897996786468408,0.023731301058846715,0.10838523355635965,0.5884789003365748,0.11590989900173722,-0.17894862413527957,0.5853658536585367,0.0005631746499456194,7.332511388505837e-36,2.7512570482397928e-06,8.447694732903044e-05,0.830726532092144,0.2803208171771877,3.5,1.2041594578792296,3.3636363636363638,1.2264306875665492,1.9090909090909092,1.4545454545454546,0.5609756097560976,-0.000529409645605312,0.014939706795974143,0.008795466682855895,-0.00040878690774650374,4.918315345444176e-06,0.6017411390516767,0.0016790561453988518,-1.0314754379652602e-05,-8.327579806817233e-07,0.5807781986724884,-0.005933416902088604,0.0003335045296655864,-4.716685702783887e-06,0.05049703264528411,0.024577048043438597,0.03951558363559371,0.031045153015497595,0.05003514549299223,0.05095891979757599,0.054192616778179846,0.032739096311245684,0.04290275608573413,0.039513441211526557,-0.09936982415808372,0.2903353880140116,0.41095043617683036,0.5949132425374014,0.5893247293582797,0.022515577185416896,0.019118178788827787,0.18654926761242355,-0.21945628014100485,-0.005588513179121679,0.7619047619047619,0.08298465381640707
Mov. 2 - Y,0.588271398727536,0.022890118499306687,0.09483654375579798,0.5833970704493306,0.9959115072077686,0.36456204878000475,1.4634146341463417,0.0005239575249123026,6.599260249655254e-35,1.1112652518408418e-05,3.404179845182651e-05,0.7748098260469742,0.2727414875578365,2.6923076923076925,0.910166120476864,2.7142857142857144,1.0301575072754257,1.2857142857142858,1.4285714285714286,0.7073170731707317,-0.0012867557905778162,0.05460953342688023,0.0031028760781305694,-0.0003232482120894312,6.118204627853755e-06,0.6208037771010485,0.002388060971789473,-0.00024338504256784634,4.5391425135205134e-06,0.5668531302849987,-0.0007231460967462716,7.444846159938506e-05,-1.4019633631933588e-06,0.042216389727749944,0.025467096604448996,0.05306427343615542,0.03782092619848983,0.042095419283102065,0.04233736017239781,0.06717642076637369,0.030481695485841082,0.06548319161198131,0.029352638002460907,-0.42664941106196813,0.5018335706552821,0.3795857020794303,0.5884778291245413,0.5879698603782234,0.030018856267005956,0.01384188632348622,-0.632719900228973,-0.004172619395891448,-0.0005079687463178661,1.1111111111111112,0.09314402874276129
Mov. 2 - Z,0.5895518367602451,0.01666350414670172,0.07112847902888209,0.5901714153496115,0.16633637324854122,-0.5114557931375874,1.3902439024390245,0.0002776723704471454,1.173201822160934e-34,6.534632855333206e-06,3.6693917014253976e-05,0.781617705359349,0.24015353550666474,2.466666666666667,0.618241233033047,2.4,0.6110100926607788,1.1875,1.2666666666666666,0.7804878048780488,-0.00038891345959331204,0.04984040051807816,-0.002236859527661641,6.676751869497877e-05,-6.059939171032951e-07,0.6142379873312546,-0.000721697369980127,-1.4246116132597358e-07,2.7811160071055643e-07,0.5702621219223284,0.00045841361884783833,-1.3927305820668854e-05,9.975460386178522e-08,0.029882047115222545,0.014348344263962953,0.04120952693134176,0.028224294660436522,0.029953766488631232,0.029805546450253278,0.040645355260329565,0.024837122210296065,0.04798315769026695,0.027095951318412064,-0.36346270491544624,0.3339518194187228,0.4024217539725036,0.590001949605901,0.588478043366948,0.017623455425814654,0.014724772360288503,-0.29126733102693464,-0.7023838438588997,-0.0015239062389530433,1.0666666666666667,0.06266161911556456
Mov. 3 - Cell 1,0.5886257456528431,0.054171852198018275,0.308251974779384,0.5901714153496115,-0.031033706370797363,1.2151651091826112,1.0,0.0029345895705639364,2.034263503759018e-33,7.018341744789705e-06,0.00017149654644518986,0.8124525206902903,0.20801203954869915,3.0,1.0954451150103321,2.9285714285714284,1.099628879881475,1.6,1.4,0.6458333333333334,-0.002534339090271079,0.20061078586724984,-0.010504263636448338,0.00028041043703215784,-2.6947135050466465e-06,0.7188422534825455,-0.009066254045013853,0.00024533847645907147,-1.988813330741987e-06,0.49619600190843227,0.004389261343382367,-0.00012905820517255588,1.4597889311450867e-06,0.08896701595320373,0.05409752296727716,0.15825372442570537,0.06815765098912145,0.09198854802921981,0.08594548387718765,0.17528599575942863,0.04177012789557536,0.14617045268706397,0.05715987411116178,-0.47200334661097154,0.1948160661920083,0.39059060264950174,0.5829171674582924,0.5896765153901032,0.09021761188358704,0.03188562397602997,-0.5040485626422747,-0.342492717773979,0.006759347931810877,0.8749999999999999,0.308251974779384
Mov. 3 - Cell 10,0.583577346507813,0.06441114439992975,0.28519520696887707,0.5819295099633431,0.10457940889211335,-0.6165061102405329,1.0625,0.0041487955229086,4.976656474350628e-33,1.5707846772789904e-05,0.00026707853892862814,0.8409578792808304,0.28138641981937784,3.1538461538461537,1.0986812966989,3.2142857142857144,1.0126747770541304,1.7857142857142858,1.4285714285714286,0.6041666666666666,-0.00018513442319431425,0.09257758175039836,0.008570812251797942,-0.0004193801625602871,5.56042725663089e-06,0.5687910463663514,0.013762195743399246,-0.0006579598840954036,9.084511700505313e-06,0.4820610215974626,0.0041607953634026995,-0.00018826424662198892,2.807523163223598e-06,0.12864338341402623,0.05016981300128978,0.11539524510402539,0.10715405385911281,0.12693602446281013,0.13035074236524233,0.11044981621572213,0.12638730885113938,0.11154887976216238,0.14012524611096475,-0.31234048722962177,0.34402969883208057,0.3689671773691037,0.5726971619308382,0.5745105096612614,0.08376119185379316,0.04754658424911417,-0.21263368001642946,-0.4412130211595365,0.001813347730423187,0.7999999999999999,0.22914510852449121
Mov. 3 - Cell 11,0.5887975859165612,0.05587471157419947,0.3033243994249734,0.5934707484129994,0.23151173292133911,0.8716812757532764,0.9375,0.0031219833934999796,1.925929944387236e-34,0.00010009612542514733,0.00014934156395967496,0.8062729337964606,0.24110048737973347,2.625,0.7806247497997998,2.6470588235294117,1.0256232808330996,1.411764705882353,1.2352941176470589,0.7291666666666666,-0.0012181843854676654,0.14328725105388476,0.0005910718946388705,-0.000292629449126422,5.962395299185873e-06,0.6637064624932846,-0.0017495655684162882,1.2522003124913556e-05,2.464400331745101e-07,0.5031967507502422,0.0007898695328057322,0.0001536416625014248,-3.5878209301470954e-06,0.09217527498958088,0.06456757733005838,0.08794650795589176,0.10277208250046595,0.09057538831121154,0.0937751616679502,0.1588250375102747,0.0945166084284391,0.16651633991128936,0.1060499913231825,-0.20536201761449585,0.13183553872279288,0.43933230570747994,0.5974256632409306,0.5740153954593465,0.08150662471307599,0.055563121526309586,-0.1168559007375899,-0.4465334965127391,-0.02341026778158406,0.875,0.2093576798404323
Mov. 3 - Cell 12,0.5928503381102249,0.06236419178223616,0.29507606676650355,0.5827586280773244,-0.2128804453537753,-0.14454852093765114,1.125,0.003889292416651532,1.4564845204428471e-33,1.606067952631139e-05,0.0004935907830179375,0.7802813838315453,0.16567499192739538,2.933333333333333,0.8537498983243798,2.8666666666666667,0.7180219742846006,1.4666666666666666,1.4375,0.6666666666666666,-0.0014775600056532224,0.09613574366562995,0.007584516454596927,-0.00028390433129746225,2.0912814458463457e-06,0.6376721846581379,0.002961925076493162,-6.888276298047559e-05,-1.6110904708823434e-07,0.5595943081702429,-0.007940071292955916,0.00037343804077605156,-4.414638068004729e-06,0.12539400733579822,0.05398991974760061,0.17034413757790387,0.07142127698472378,0.1281455248689015,0.1228144596485139,0.1164978793572442,0.0868110232003102,0.12033995985097297,0.07032149929692781,-0.3927286725353047,0.19787981581911612,0.3242618834603764,0.6063274352398766,0.5928087393762547,0.07486372784807209,0.030385343444446364,-0.2596396179636441,-0.12922427338103432,-0.013518695863621977,0.9801136363636365,0.2374020108792294
Mov. 3 - Cell 13,0.5899995750858934,0.04672656001364671,0.19616034758688078,0.5852224157545296,0.003063259753725285,-0.5576295661148785,1.3125,0.0021833714107089273,1.4564845204428471e-33,4.3584146741137086e-05,0.00011689949311481418,0.7942359288422749,0.2853726034699135,2.6470588235294117,0.903664205631601,2.6875,0.9164298936634487,1.5294117647058822,1.1176470588235294,0.7291666666666666,0.0010830322192435838,0.05447742668880186,0.0074832314317515945,-0.0004759677610508516,8.252004058131045e-06,0.6000152118219801,0.005454040165685683,-0.00024340020516798688,3.414334003730564e-06,0.5510719950041807,-0.0023895355089982827,0.00022339649765868634,-4.398613895521312e-06,0.08955269588151739,0.04432045788442062,0.05551020757946786,0.1346156455516492,0.08756465237216124,0.09154073939087355,0.06100195460489055,0.14340672564045978,0.08463289206538964,0.14175705910876588,-0.5313604313545767,0.18825384577688697,0.3716997677465245,0.5764877528328203,0.5847318006431557,0.04088595606536199,0.057115115778715204,-0.5136117626883299,-0.6659448158031253,0.008244047810335386,0.7307692307692308,0.1648381077253669
Mov. 3 - Cell 14,0.5920946872882125,0.08071641685807443,0.39729111900951447,0.5926352030268167,-0.1488591725462107,0.3575935738266285,1.0,0.0065151399504064424,5.349805401075655e-36,4.268549600024724e-05,0.0006615868026156161,0.8616253051145482,0.31163361009013163,3.1538461538461537,0.8634593969478327,3.142857142857143,0.989743318610787,1.5,1.6428571428571428,0.6041666666666666,-0.0021215323189862877,0.08067113996673675,0.018388732345223344,-0.0008295257592742715,9.624272282685952e-06,0.5670179617271526,0.020850410861196912,-0.0009334084531345932,1.152313943202389e-05,0.45502342266968715,0.0074892646082206004,-0.00033026318985442154,4.9086935137553465e-06,0.15567694938400717,0.09520098759974037,0.13133773672893262,0.09560924470267795,0.14943560898557134,0.16191828978244294,0.17640005627433877,0.1164978793572442,0.1632098654343443,0.11540524308300537,-0.39554398930787443,0.15509667963645613,0.3867599373939405,0.5946233725611181,0.6022054113347088,0.08067465527264586,0.05125558196118966,-0.040920701023653104,-0.4523192304988066,0.00758203877359076,1.0952380952380951,0.3561137284391798
Mov. 3 - Cell 15,0.5865998158943585,0.06514297237029258,0.30002506636158544,0.5860472490203766,0.09955025899937892,-0.1871358335372788,1.25,0.004243606849236702,8.559688641721048e-35,0.00011299810240205933,0.00041672586761435114,0.7903457442530727,0.2676648945331401,2.625,0.8569568250501305,2.6875,0.7680128579652817,1.25,1.411764705882353,0.7083333333333334,-0.0026544532377046344,0.12780034286920075,0.00860375476836047,-0.0005227125297489078,6.803592822679204e-06,0.6298210242439978,0.011156337015366396,-0.0006167352950528601,8.290350219840374e-06,0.47926493014867694,0.006229810942886227,-0.00024668688311875453,3.3199117674671228e-06,0.11850396734737972,0.0643508560089951,0.15660405789401147,0.09835868892216788,0.11571634091108726,0.12112761575800791,0.1445207861553701,0.07308522634353194,0.16430250170858327,0.0818763064323426,-0.4291207402875707,0.20480931852905784,0.4693792207154216,0.5769847952163956,0.5867092580571214,0.07564303789807438,0.0424954511685459,-0.47849883713881763,-0.49102682753494536,0.009724462840725812,1.1294117647058823,0.26872425074074313
Mov. 3 - Cell 2,0.5902057834023552,0.04231002335140241,0.20770801330873823,0.5885217488179175,1.1586938698892364,1.8542850239073614,0.6875,0.0017901380759962166,6.184375043643457e-33,1.236871640227319e-05,0.00023940168692768954,0.8330914704105927,0.2877416392692877,3.0714285714285716,1.0326308782000686,3.0714285714285716,1.222660197758835,1.4285714285714286,1.6,0.625,-0.0008568222400889859,0.068836665968056,0.004305442870722235,-0.00022346470837445224,2.7247763193303233e-06,0.6351766663068584,0.000854560051735825,-5.4622735403418656e-05,4.6955685957404923e-07,0.5723965771955208,-0.004843927548408914,0.0002445837124771578,-3.3995824222586377e-06,0.0755485215094574,0.047455907985678045,0.08569696268540002,0.05879525781574154,0.0766574634249954,0.07451350905495531,0.0961519921330188,0.05879525781574154,0.08515421525505913,0.05714559128404758,-0.14144330078269624,0.15902068726587396,0.34932996911513703,0.5926437727230853,0.5847318006431557,0.04704095130604076,0.0244505191120616,-0.21977684496231462,-0.5583991131446534,-0.007911972079929663,1.12,0.18298443957400035
Mov. 3 - Cell 21,0.5887633071314871,0.08834387772852414,0.48631312384710795,0.5909962486154585,-0.15124078887867007,1.3244994115555313,1.0,0.0078046407321124235,2.8300470571690213e-33,0.00011541248672005673,0.0009296780583056472,0.8403861051636413,0.2925322222287995,3.727272727272727,1.5427784316797402,3.6666666666666665,1.699673171197595,1.6666666666666667,2.0,0.5208333333333334,-0.006178286682439876,0.3150598772382653,-0.007448590907325657,-1.3482623601215692e-05,1.0260362053352115e-06,0.7109366906152851,-6.056029101540729e-05,-0.00018304104081803276,3.097451714086585e-06,0.4113978230930229,0.0049437016380628465,-6.340002999817974e-05,7.187390040174195e-07,0.1750374245777461,0.09860343107633544,0.3127081168592349,0.05385125721014968,0.16940499170524814,0.180669857450244,0.25559884680453876,0.06923743271895755,0.30285643687740266,0.08077724288590238,-0.38530252831235695,0.3031411712857565,0.3766006518992655,0.5982492110523373,0.5970953014497784,0.14545748123030847,0.034984229406055355,-0.492996513278131,0.25023470964130773,-0.0011539096025589002,1.2,0.40553516681985
