Feature,Stage1_Delta,Stage2_Delta,Stage1_Abs_Delta,Stage2_Abs_Delta,Stage1_Abs_Rank,Stage2_Abs_Rank,Stage1_HL_Shift,Stage2_HL_Shift,Stage1_Delta_CI_Lower,Stage1_Delta_CI_Upper,Stage2_Delta_CI_Lower,Stage2_Delta_CI_Upper,Delta_Change,Abs_Delta_Change,Abs_Delta_Ratio,Percent_Attenuation,Delta_Direction_Preserved,Delta_Sign_Reversed,HL_Direction_Preserved,Stage1_MW_BH_q,Stage2_MW_BH_q,Stage1_Stratified_BH_q,Stage2_Stratified_BH_q,Stage1_Movie1_Delta,Stage1_Movie2_Delta,Stage1_Movie3_Delta,Stage2_Movie1_Delta,Stage2_Movie2_Delta,Stage2_Movie3_Delta,Stage1_Direction_Consistent_All_Movies,Stage2_Direction_Consistent_All_Movies,Stage2_Any_Movie_Direction_Reversal,Stage2_CI_Excludes_Zero
d_poly_peak_c2,0.5406195207481005,0.5607580824972129,0.5406195207481005,0.5607580824972129,11,9,0.18519931626618724,0.1804390024710169,0.30447106954997083,0.7533606078316774,0.36007060572277966,0.7398736529171311,0.020138561749112438,0.020138561749112438,1.0372508963813312,-3.7250896381331224,True,False,True,0.00016811734271639133,7.08034687837642e-06,0.004124587541245876,0.0004999500049995,0.6363636363636364,0.1,0.6222910216718266,0.6521739130434783,0.11458333333333333,0.672077922077922,True,True,False,True
d_final_peak_to_trough_magnitude,-0.5125657510227937,-0.409884801189149,0.5125657510227937,0.409884801189149,12,17,-0.1743220011928573,-0.14360613376143522,-0.6925774400935125,-0.3138223261250735,-0.5815681902638424,-0.22777777777777805,0.10268094983364467,-0.10268094983364467,0.7996726280896624,20.032737191033757,True,False,True,0.0003787413358822391,0.001123939765994724,0.041245875412458756,0.27297270272972707,-0.8787878787878788,-0.5428571428571428,-0.12074303405572756,-0.8840579710144928,-0.3020833333333333,-0.07467532467532467,True,True,False,True
d_poly_mag_c0,-0.5090590298071304,-0.42251950947603123,0.5090590298071304,0.42251950947603123,13,16,-0.1702833417139898,-0.13646835988145684,-0.7276446522501461,-0.26943308007013445,-0.6254366406540319,-0.21439985135637338,0.08653952033109913,-0.08653952033109913,0.8300010111521118,16.99989888478882,True,False,True,0.00038934192546531584,0.0007877929461880233,0.0026997300269973002,0.0036814500368145004,-1.0,-0.24285714285714285,-0.5603715170278638,-0.9710144927536232,-0.1875,-0.44155844155844154,True,True,False,True
d_final_magnitude,-0.5067212156633548,-0.4351542177629134,0.5067212156633548,0.4351542177629134,14,14,-0.2155319382053249,-0.2038347759395197,-0.6867329047340737,-0.304500292226768,-0.6127833519137867,-0.2582683017465626,0.07156699790044141,-0.07156699790044141,0.8587645520096249,14.123544799037512,True,False,True,0.00038934192546531584,0.0005872938495502874,0.03921036467781793,0.11184595826131673,-0.8484848484848485,-0.5428571428571428,-0.1393188854489164,-0.855072463768116,-0.2604166666666667,-0.19155844155844157,True,True,False,True
a_mean,0.49035651665692576,0.42623560014864365,0.49035651665692576,0.42623560014864365,15,15,0.188873877476734,0.1331691689750194,0.2261542957334892,0.7264757451782583,0.19806763285024154,0.632125603864734,-0.06412091650828211,-0.06412091650828211,0.869236128551048,13.076387144895197,True,False,True,0.0005987346558772432,0.0007418859458246537,0.007199280071992801,0.021597840215978402,0.6363636363636364,0.4,0.4241486068111455,0.6231884057971014,0.4479166666666667,0.288961038961039,True,True,False,True
d_poly_trough_c0,0.4739918176504968,0.44555927164622816,0.4739918176504968,0.44555927164622816,16,13,0.1337718259605727,0.1274553276640662,0.22033898305084745,0.6937755698421971,0.2433853586027499,0.6417688591601635,-0.028432546004268644,-0.028432546004268644,0.9400146902425356,5.9985309757464425,True,False,True,0.0009115203718101152,0.0004412001084006494,0.004153430810765078,0.006427928635707857,0.36363636363636365,0.34285714285714286,0.541795665634675,0.36231884057971014,0.22916666666666666,0.4577922077922078,True,True,False,True
d_poly_mag_c3,-0.440093512565751,-0.38312894834633965,0.440093512565751,0.38312894834633965,17,19,-0.08884837048423877,-0.07588465418633306,-0.6563705435417884,-0.1957627118644072,-0.5778706800445931,-0.17725752508361203,0.05696456421941137,-0.05696456421941137,0.8705625904655871,12.943740953441283,True,False,True,0.0022352919866933086,0.002339020816408194,0.02902209779022098,0.030702812071734,-0.6666666666666666,-0.2,-0.3746130030959752,-0.6811594202898551,-0.22916666666666666,-0.32142857142857145,True,True,False,True
d_poly_mag_c2,0.4319111630625365,0.38684503901895206,0.4319111630625365,0.38684503901895206,18,18,0.1082436517795064,0.09500506816567933,0.179427235534775,0.6610169491525424,0.17577108881456707,0.5875325157933851,-0.045066124043584455,-0.045066124043584455,0.8956588115851516,10.434118841484846,True,False,True,0.002635379268254336,0.002202387349724594,0.024629116035764842,0.030702812071734,0.5757575757575758,0.22857142857142856,0.3931888544891641,0.5942028985507246,0.25,0.3246753246753247,True,True,False,True
d_poly_peak_c1,-0.4202220923436587,-0.4708286882199926,0.4202220923436587,0.4708286882199926,19,11,-0.1485533917499241,-0.1489326000622061,-0.6586791350087668,-0.15832846288720132,-0.6700111482720178,-0.2560386473429952,-0.05060659587633387,0.05060659587633387,1.1204282135527222,-12.042821355272217,True,False,True,0.0034060692929550845,0.00020389023673708583,0.041245875412458756,0.005999400059994001,-0.2727272727272727,-0.07142857142857142,-0.4551083591331269,-0.30434782608695654,-0.10416666666666667,-0.5357142857142857,True,True,False,True
a_kurtosis,-0.3980128579777908,-0.3534002229654404,0.3980128579777908,0.3534002229654404,20,20,-0.06574750286866321,-0.0480039989588146,-0.6236411455289305,-0.16306253652834599,-0.5444072835377183,-0.1549424005945748,0.04461263501235041,-0.04461263501235041,0.8879115734124353,11.208842658756467,True,False,True,0.005720873161843697,0.0053550566840515025,0.0032724000327240006,0.006427928635707857,-0.18181818181818182,-0.7285714285714285,-0.4055727554179567,-0.21739130434782608,-0.6666666666666666,-0.34415584415584416,True,True,False,True
