,a_mean,a_std,a_range,a_median,a_skew,a_kurtosis,b_dominant_freq,b_total_power,b_band_power_low,b_band_power_mid,b_band_power_high,b_spectral_entropy,b_spectral_flatness,c_avg_time_between_peaks,c_std_time_between_peaks,c_avg_time_between_troughs,c_std_time_between_troughs,c_mean_peak_to_trough_time,c_mean_trough_to_peak_time,c_oscillation_rate,d_slope_magnitude,d_poly_mag_c0,d_poly_mag_c1,d_poly_mag_c2,d_poly_mag_c3,d_poly_peak_c0,d_poly_peak_c1,d_poly_peak_c2,d_poly_peak_c3,d_poly_trough_c0,d_poly_trough_c1,d_poly_trough_c2,d_poly_trough_c3,d_mean_magnitude,d_std_magnitude,d_initial_magnitude,d_final_magnitude,d_mean_peak_to_trough_magnitude,d_mean_trough_to_peak_magnitude,d_initial_peak_to_trough_magnitude,d_final_peak_to_trough_magnitude,d_initial_trough_to_peak_magnitude,d_final_trough_to_peak_magnitude,e_autocorr_lag1,e_autocorr_lagk,e_hurst_exponent,f_early_mean,f_late_mean,f_early_std,f_late_std,f_early_autocorr,f_late_autocorr,f_delta_mean,g_asymmetry_index,g_sharpness_index
Mov. 1 - Cell 17,0.7645292066366309,0.0589891814964818,0.054084124911123896,0.671039272225153,0.5866504712427405,0.09739762246679086,0.30947368421052646,0.01722969661137169,4.51018234121764e-33,0.004378084967461054,0.019840608045692956,0.583536345842059,0.717068575655463,0.4326241134751776,0.42466849183292,0.4466403162055337,0.27643863373823596,0.5,0.36363636363636354,0.31861198738170327,0.7954526235872037,0.2907906414155396,0.2634520529554406,0.7674319039679942,0.27793829989851576,0.41898754861839205,0.21589525679593208,0.8368020136571448,0.19751319032717124,0.6624354390263696,0.675489957517179,0.1993961241580466,0.7875478129445411,0.06140611298430318,0.058984682512466274,0.10820977010557593,0.18360468938314842,0.06763244423457643,0.05452697726223879,0.06419725269398935,0.08597340630810772,0.0,0.08701659555730973,0.5205968615224508,0.33043154883521275,0.4355524825397534,0.8004768865619241,0.739129615877216,0.08521972860031218,0.024880888450908648,0.4645210072920369,0.30217806909768335,0.43832620980999054,0.19550930996714133,0.057406062459385884
Mov. 1 - Cell 18,0.6898948941105232,0.5462352588538703,0.34802747640141224,0.7352069203590137,0.6058795269725832,0.06758780347835537,0.568421052631579,0.3597697017160424,3.0761381056185016e-33,0.009202322826586028,0.1813004858421251,0.3268022846168419,0.121604394939406,0.30605564648117856,0.2856403611411532,0.31438127090301005,0.29261919795728486,0.3076923076923077,0.2857142857142858,0.6214511041009461,0.5479393842562637,0.5259026853247772,0.08880690496411481,0.9999999999999999,0.0,0.6468561072696346,0.0981523761023631,1.0,0.0,0.5708659674476886,0.7328782421644456,0.03860447128960359,1.0,0.4760078181059575,0.49069951489307395,0.41352638423953625,0.13164018845184608,0.48050622011450833,0.47197116229910463,0.4245512637450448,0.13311581237062764,0.35917347725520427,0.10201788615417304,0.1754691724123265,0.18478007452667344,0.33746189174593444,0.651493667446136,0.7476375749356912,0.3859409500921367,0.12314281034309957,0.0,0.39247256435864986,0.548656042381346,0.2767540751240256,0.46228737433584305
Mov. 1 - Cell 20,0.6898948941105196,0.06610288136952724,0.03997405865955843,0.6709986597896247,0.5422071651154152,0.08086393105088614,0.913684210526316,0.019661238741048328,3.759016313046663e-33,0.0005106525607898499,0.01276494185075271,0.549052079889055,0.5175694973066385,0.18946301925025333,0.20486678765459784,0.1925465838509317,0.20795557907059495,0.19999999999999996,0.2142857142857142,0.7728706624605679,0.7893870975695795,0.1384724114613018,0.4434572653407213,0.5980013731226005,0.43784643441442567,0.34436223307236924,0.336390532313345,0.6852330833210001,0.3620002633027101,0.8562580538832141,0.46403516380583804,0.4068826078492407,0.6260624362226074,0.04162191257770653,0.03991834197251351,0.05410488505278789,0.079666922318396,0.04201496319850276,0.04118282723675304,0.02692810526012393,0.08318422622180137,0.008133641737342434,0.07499506536493539,0.19777225103635754,0.4248883478212765,0.0444566996589022,0.7069295386955323,0.732749991927931,0.07855598235329983,0.03733798568377186,0.2773042371804494,0.12821207520159406,0.5008467584350158,0.3082329317269077,0.05136271549252684
Mov. 1 - Cell 21,0.6363159408694585,0.09358567115652619,0.0799659668652923,0.6549973601916896,0.6402976355516891,0.09732740082803354,1.0,0.029770451574088082,6.860643796199376e-34,0.0040482220537019845,0.02136246157669417,0.23884611097672792,0.5232249775415827,0.0,0.0,0.0,0.0,0.125,0.0,1.0,0.7917023583821345,0.187967852627681,0.38402471539967564,0.6538857394159128,0.3859710353515727,0.4133688042150734,0.2553567562973415,0.764795421007582,0.2958119287113028,0.7937141758787185,0.535769613794062,0.3278828245862424,0.6970449420352104,0.053707638595747925,0.035117062425917306,0.07088003963584551,0.0899835652459734,0.06059575537293188,0.046786478731925984,0.0662775130147267,0.06929095182963206,0.0016242611153945291,0.0449773006787019,0.10340105395878507,0.7765417437454534,0.5132049369117182,0.7381222153309395,0.6710820875442609,0.09087087724890125,0.09501048448198937,0.03480620255258793,0.5507295178167347,0.44322996470288967,0.1733601070950469,0.07252016360230863
Mov. 1 - Cell 23,0.6535364503088701,0.09407574247940484,0.09171096824863233,0.7512894448280036,0.48630458643626207,0.17462860181536033,0.6547368421052632,0.029961031384438664,3.0761381056185016e-33,0.0006442431002743322,0.045216514406684935,0.4278455008768236,0.5221380428811013,0.3900709219858156,0.41642066128329447,0.45652173913043503,0.4100735681608645,0.33333333333333326,0.46153846153846145,0.4700315457413249,0.6372234991083776,0.20983060856135027,0.4550237287886146,0.5408060482815481,0.5169542339123993,0.39993699183458054,0.33877528051693534,0.6349813767501903,0.444218444332807,0.7685726815932372,0.4608489123548515,0.46957683774124637,0.5449907471291221,0.08049077046964476,0.10778454631122444,0.10692225702672485,0.15588912019283455,0.07379534122070941,0.08679403913960765,0.16982155348810404,0.055467845489948694,0.1462739655615523,0.0660102336739497,0.30533315227541147,0.2930063528471881,0.51342569635742,0.6722829410050117,0.7221163884494093,0.15652736249459306,0.03404268592949582,0.2828059167449242,0.1298508619071807,0.5192350638635763,0.40060240963855454,0.10877260043576316
Mov. 1 - Cell 24,0.8315083454178556,0.03519482314633143,0.04232722383033387,0.7031230962920834,0.6053597144050628,0.12335503076378382,0.568421052631579,0.00964978481869989,8.735491249679387e-33,0.0011627316025277616,0.02713737310851658,0.7014234572919222,0.672164915829704,0.6085106382978724,0.3507825369939054,0.6956521739130435,0.7256654533819864,0.5,0.7272727272727273,0.1671924290220821,0.7148400098540836,0.10974013698310064,0.5367526227747513,0.47319413180195913,0.5795104834106493,0.2904202201488493,0.4532790981213583,0.5266570526080502,0.5395298711130249,0.8286756382341283,0.4413825716565777,0.4795258054188725,0.5350872588593878,0.054402528345717405,0.07740892857370135,0.03864168999944578,0.12819546400788867,0.05434630230512946,0.054527930026928406,0.10976386163386856,0.07765498368592795,0.0780138781804162,0.09602040661392924,0.33757229532364497,0.2651488776233267,0.17153867660512745,0.7242517417536538,0.7816667204804482,0.03808527365204456,0.02666082897178848,0.5857279992242205,0.419840909649787,0.5167831864171264,0.46129974443227484,0.06949275639310394
Mov. 1 - Cell 25,0.831508345417852,0.10365080116160255,0.07289457165551545,0.8154773991796276,0.5082371733228952,0.10510823523922729,0.4821052631578947,0.033757099118907785,3.019453879415969e-34,0.009104924033184282,0.014695162425837457,0.5621403391215707,0.3466326285623772,0.28605200945626486,0.21707233394100586,0.31438127090301005,0.29261919795728486,0.07692307692307687,0.5384615384615385,0.5457413249211354,0.7701510450902214,0.3354932575124193,0.26792870751014797,0.739992510527347,0.3208511408425435,0.515198275989877,0.23495937435072292,0.7466449515744233,0.33455958437589717,0.730136947548907,0.6207636197227069,0.22880563718293462,0.779723526289577,0.11114667122505373,0.10869320885127584,0.16746796700055072,0.1177824038566887,0.10498198997676977,0.11738152344821443,0.10147950000392988,0.18857664105532734,0.10564276535594962,0.2310320219856969,0.4033230653444233,0.2663692466799257,0.3546948401664225,0.7831524919295276,0.8178242011343935,0.10336282845506573,0.09254853091848414,0.43592173859077255,0.3495175754987083,0.49594300354211823,0.7650602409638558,0.07855204311761775
Mov. 1 - Cell 26,0.7663900327143054,0.06164002791426498,0.0376238684131454,0.7031230962920834,0.5746694488697149,0.09277218323948977,0.5124324324324324,0.018126885642335864,7.239431698877068e-34,0.0024443813698456587,0.0,0.5991113826073429,0.2581724876413072,0.4326241134751776,0.4246684918329202,0.5059288537549409,0.4118581886778301,0.5454545454545454,0.33333333333333326,0.36772103333617534,0.756499444314304,0.21721345941858305,0.3897991623877244,0.6286955424432408,0.4216979366319763,0.4404548775635777,0.2835873878570469,0.709267879618777,0.3608449541977818,0.7298025565947808,0.5975746543358567,0.2747786395725461,0.731972471525657,0.06284121070559642,0.07251378586808702,0.060547339737216724,0.14550673824915078,0.060098465517967936,0.06544772492972009,0.05177595019951092,0.15252780409079764,0.0715147776921098,0.1290217275777774,0.47622376479308237,0.23719738856545702,0.2899531404635092,0.7987433513115478,0.7391296158772169,0.07999409815200556,0.05166451086221499,0.46461635151380953,0.2687124468925008,0.43955292395302814,0.14469643278998345,0.057406062459385884
Mov. 1 - Cell 7,0.7645292066366309,0.0589891814964818,0.054084124911123896,0.671039272225153,0.5866504712427405,0.09739762246679086,0.30947368421052646,0.01722969661137169,4.51018234121764e-33,0.004378084967461054,0.019840608045692956,0.583536345842059,0.717068575655463,0.4326241134751776,0.42466849183292,0.4466403162055337,0.27643863373823596,0.5,0.36363636363636354,0.31861198738170327,0.7954526235872037,0.2907906414155396,0.2634520529554406,0.7674319039679942,0.27793829989851576,0.41898754861839205,0.21589525679593208,0.8368020136571448,0.19751319032717124,0.6624354390263696,0.675489957517179,0.1993961241580466,0.7875478129445411,0.06140611298430318,0.058984682512466274,0.10820977010557593,0.18360468938314842,0.06763244423457643,0.05452697726223879,0.06419725269398935,0.08597340630810772,0.0,0.08701659555730973,0.5205968615224508,0.33043154883521275,0.4355524825397534,0.8004768865619241,0.739129615877216,0.08521972860031218,0.024880888450908648,0.4645210072920369,0.30217806909768335,0.43832620980999054,0.19550930996714133,0.057406062459385884
Mov. 1 - Cell 7.1,0.7365809351130359,0.10458172511505506,0.10167534387762643,0.6707781467073453,0.3892944250982623,0.30182069888249724,0.8273684210526316,0.0341335250414781,2.17986045836904e-33,0.056328680707120445,0.07352235010673909,0.809289522417671,0.7689983210255992,0.49408983451536637,0.8571351730554123,0.5652173913043479,0.9233491602026446,0.6666666666666667,0.25,0.3943217665615142,0.670182396221641,0.26125754457834927,0.3423084594160195,0.6795563383291005,0.3658313461692311,0.3527485035399014,0.43112217484414656,0.5227989101820086,0.5559371245260454,0.6591399234898314,0.726470514889047,0.09216196561115692,0.9136837504078711,0.06658108673135146,0.10856656778274204,0.12899510829397332,0.0,0.07214863811419678,0.060990769355598745,0.1352731390301766,0.0,0.07412663547422042,0.0,0.7265308868786935,0.11191037496981042,1.0000000000000002,0.7840888088593125,0.7731614521111139,0.0919356510055537,0.03289737242144562,0.5685230351320184,0.6281156265273177,0.4695380438626421,0.02108433734939763,0.06828066017649155
Mov. 1 - Cell 9,0.3626519529582488,0.6835907942579939,0.4256343282472041,0.4944564025504601,0.5532178764084063,0.0990711731631019,0.8273684210526316,0.520873594248939,1.5412759721687877e-32,0.0358441470018244,0.2615714320205347,0.6462752344336087,0.6055085183000536,0.31914893617021267,0.30919384896358315,0.45652173913043503,0.5348474864093512,0.5,0.33333333333333326,0.3943217665615142,0.14113907811449966,0.5802852733303767,0.3700111457324852,0.5496074252740345,0.5398657024200113,0.6649324129079157,0.4643242280146888,0.37581891634222786,0.7644691404128339,0.41126924293059997,0.6938862089272579,0.23842650012886007,0.7396344921677166,0.6819507602548476,0.5406682455597761,0.6119240008735527,0.5716051276432559,0.6518322770141181,0.7123179421502237,0.8677436511450595,0.5934743711188296,0.6354602929838084,0.5580920423315769,0.3172657633351099,0.3037608321188622,0.3366149731724337,0.739842601135674,0.5200617782226384,0.5829926742368956,0.11675578915249638,0.48586975728803894,0.718289067802716,0.35496857998920694,0.1733601070950469,0.528764190971293
Mov. 1 - Cell 9.1,0.9963263034299992,0.19070809138177655,0.13168205198382826,0.7462935775497073,0.4876631144381901,0.13140967760379946,0.6547368421052632,0.07460000580759242,4.800005455424944e-35,0.038575776388494215,0.03891831858117506,0.7353674104768197,0.528274078771168,0.5460992907801421,0.8043503884066604,0.5652173913043479,0.8363102365668521,0.5833333333333333,0.36363636363636354,0.31861198738170327,0.8028641124367906,0.2637290807553933,0.3790463144649332,0.6098224490795696,0.4667933789344745,0.42057325174382676,0.3264986021694156,0.6503443535443524,0.44180085127124785,0.7307372189222099,0.5412773187774106,0.38882769285758867,0.5938788726660356,0.13760309248669927,0.18548280355193242,0.15181417204351472,0.28059603374602804,0.15076159819928253,0.12307140029396083,0.16282153793226037,0.438164403746974,0.09102893505067082,0.2880346487299006,0.5288040198573227,0.35118932178520756,0.702725217286815,0.7903130352299792,0.8922648068623324,0.11225245261045794,0.25009487983208106,0.5417422255597574,0.415642327035674,0.5337814653198253,0.14305067158586504,0.1843048813118764
Mov. 1 - M,0.7607016197641912,0.47720576204812737,0.3339203850742094,0.7031027900743201,0.6766761087268737,0.11894239117839708,0.568421052631579,0.28952289999390096,6.449983249193261e-33,0.0034499412731092667,0.19602525268515378,0.6175262696697672,0.3972575011152121,0.3380614657210401,0.29092778363160665,0.34782608695652173,0.2981612620668934,0.25,0.3846153846153846,0.4700315457413249,0.6206897084013198,0.2952170247127453,0.44402687487181874,0.598197471048043,0.4253061956544571,0.5737818061513389,0.30170135175307233,0.6881405424751882,0.37025934519974324,0.7571417555328654,0.46066878960119045,0.3847938121933312,0.6726661104592397,0.4706155595309388,0.30559599968905565,0.22029022826466044,0.388000438260107,0.4744460280809068,0.46723620447970937,0.4763272139445559,0.39102901448970295,0.3510501156515032,0.3510613261262353,0.38117252639975474,0.331432545111982,0.47552146709119536,0.8559105662370445,0.6604350306200404,0.4099991463353203,0.16012917614363462,0.35557897023247453,0.4815503234388533,0.3537418658461693,0.413253012048193,0.42301135277703444
Mov. 1 - N,0.7721843803815247,0.7063392990476441,0.5149891564006984,0.7512894448280036,0.6353891263033601,0.15551003461676655,1.0,0.550295200938193,1.437230407790915e-33,0.017580843375107597,0.19089804182255862,0.24728075479833844,0.24674993415388569,0.2100381887615932,0.2912371447098555,0.16387959866220747,0.2095927923936682,0.15384615384615374,0.2857142857142858,0.6214511041009461,0.12173807624414579,0.49278398304948906,0.522459393223886,0.3432445324297416,0.7870773833480722,0.9973637021496398,0.1362634873772855,0.7025838258217606,0.4395686538081725,0.8417403208953935,0.10601499940911263,0.9879288518561682,0.0,0.6162841742388657,0.6618856428059317,0.6531456063208739,0.7656053467733102,0.6379251200251661,0.5962388996845445,0.8594592895151209,0.5241448268603307,0.6208337188383447,0.4920818086576274,0.04098547493558535,0.8575463212738849,0.12505492823391728,0.8940242344283167,0.6157695909076217,0.6296434919652587,0.2516224586393953,0.11772945706156623,0.49728051144111673,0.30102727616731706,0.4204819277108438,0.607323879056611
