Feature,K2_U1_n,K2_U2_n,K2_U1_Median,K2_U1_Q1,K2_U1_Q3,K2_U1_IQR,K2_U2_Median,K2_U2_Q1,K2_U2_Q3,K2_U2_IQR,K2_U1_Mean,K2_U1_SD,K2_U2_Mean,K2_U2_SD,HL_Shift_K2_U2_minus_K2_U1,HL_CI_Lower,HL_CI_Upper,Cliffs_Delta_K2_U2_vs_K2_U1,Delta_CI_Lower,Delta_CI_Upper,MannWhitney_U_K2_U1,MW_p,MW_BH_q,Movie1_Delta,Movie1_Delta_Sign,Movie2_Delta,Movie2_Delta_Sign,Movie3_Delta,Movie3_Delta_Sign,Movies_Matching_Pooled_Direction,Direction_Consistent_All_Movies,Any_Movie_Direction_Reversal,Stratified_Delta,Stratified_Permutation_p,Stratified_BH_q,Stage1_Abs_Rank
d_poly_peak_c2,29,59,0.4566046828389314,0.3268142179358435,0.5697710205795974,0.2429568026437539,0.6516404097185398,0.5587339570669335,0.7190301706365367,0.16029621356960322,0.45348069659426576,0.2362937545435033,0.639038399316331,0.12606716837696635,0.18519931626618724,0.10535589893286564,0.26476196787494066,0.5406195207481005,0.30447106954997083,0.7533606078316774,393.0,4.1095350441784544e-05,0.00016811734271639133,0.6363636363636364,positive,0.1,positive,0.6222910216718266,positive,3,True,False,0.48582230623818534,0.0010998900109989002,0.004124587541245876,11
d_final_peak_to_trough_magnitude,29,59,0.4519804932814092,0.2884187629372345,0.5140722029260079,0.22565343998877335,0.2063256499315859,0.10121916991193919,0.3882521138125812,0.287032943900642,0.4107500008720643,0.14622959804568356,0.25440867586757726,0.17317832812219064,-0.1743220011928573,-0.24592336207280444,-0.09678081487724771,-0.5125657510227937,-0.6925774400935125,-0.3138223261250735,1294.0,0.0001009976895685971,0.0003787413358822391,-0.8787878787878788,negative,-0.5428571428571428,negative,-0.12074303405572756,negative,3,True,False,-0.3270321361058601,0.021897810218978103,0.041245875412458756,12
d_poly_mag_c0,29,59,0.3632763110057818,0.2817627372419962,0.5568454030910835,0.27508266584908736,0.2004179642522037,0.13815322159479249,0.29300383306414246,0.15485061146934997,0.3990116325577495,0.2177374213985461,0.22618626625491076,0.11115614703702087,-0.1702833417139898,-0.24662580373387338,-0.08785009564548818,-0.5090590298071304,-0.7276446522501461,-0.26943308007013445,1291.0,0.00011266944950268559,0.00038934192546531584,-1.0,negative,-0.24285714285714285,negative,-0.5603715170278638,negative,3,True,False,-0.5311909262759924,0.0005999400059994001,0.0026997300269973002,13
d_final_magnitude,29,59,0.4638062890325408,0.3154333296811659,0.7066155363208065,0.39118220663964065,0.2419574253350164,0.1299112523282568,0.4215908841897664,0.29167963186150964,0.5109343543118005,0.2263041804891372,0.30230686002658674,0.23057555078489433,-0.2155319382053249,-0.3187202804864689,-0.13151298345568052,-0.5067212156633548,-0.6867329047340737,-0.304500292226768,1289.0,0.00012112859903365383,0.00038934192546531584,-0.8484848484848485,negative,-0.5428571428571428,negative,-0.1393188854489164,negative,3,True,False,-0.33459357277882795,0.0182981701829817,0.03921036467781793,14
a_mean,29,59,0.5663126816252202,0.4100752707001369,0.7668829143241425,0.3568076436240056,0.7523940775003446,0.705673804245853,0.8086859593749889,0.10301215512913586,0.5515276781772456,0.23186016320018554,0.7586923440914948,0.09871110670502138,0.188873877476734,0.07069477942051705,0.28781757898153165,0.49035651665692576,0.2261542957334892,0.7264757451782583,436.0,0.00019957821862574772,0.0005987346558772432,0.6363636363636364,positive,0.4,positive,0.4241486068111455,positive,3,True,False,0.444234404536862,0.0023997600239976003,0.007199280071992801,15
d_poly_trough_c0,29,59,0.5885002190994377,0.4842621818599715,0.7014668189936586,0.2172046371336871,0.7571417555328654,0.6611967491137202,0.81193267408597,0.15073592497224986,0.587172925160209,0.1870083079205564,0.732634320165464,0.10323703549121625,0.1337718259605727,0.06705793146513095,0.20594233152380803,0.4739918176504968,0.22033898305084745,0.6937755698421971,450.0,0.0003240961321991521,0.0009115203718101152,0.36363636363636365,positive,0.34285714285714286,positive,0.541795665634675,positive,3,True,False,0.46691871455576556,0.0011998800119988001,0.004153430810765078,16
d_poly_mag_c3,29,59,0.5347470088389453,0.4590687846611067,0.6123108697260037,0.153242085064897,0.4515960225550151,0.37925597366050046,0.512234525368312,0.1329785517078116,0.5538995827857471,0.16549185464373892,0.4458378333528245,0.0918994683867706,-0.08884837048423877,-0.14872287547566687,-0.03457174089160042,-0.440093512565751,-0.6563705435417884,-0.1957627118644072,1232.0,0.000844443639417472,0.0022352919866933086,-0.6666666666666666,negative,-0.2,negative,-0.3746130030959752,negative,3,True,False,-0.3648393194706994,0.012898710128987101,0.02902209779022098,17
d_poly_mag_c2,29,59,0.5035045448756839,0.3910196595998119,0.5699544729349708,0.17893481333515893,0.5980013731226005,0.5198319906593293,0.680196352955915,0.16036436229658568,0.48403712820857564,0.1909901236603687,0.5995474540708473,0.10171850169181246,0.1082436517795064,0.03832372710634911,0.17004325938885395,0.4319111630625365,0.179427235534775,0.6610169491525424,486.0,0.0010541517073017345,0.002635379268254336,0.5757575757575758,positive,0.22857142857142856,positive,0.3931888544891641,positive,3,True,False,0.37240075614366736,0.0103989601039896,0.024629116035764842,18
d_poly_peak_c1,29,59,0.5089729343139925,0.4014420679285038,0.6531553268244611,0.2517132588959573,0.3611505171976595,0.27320988531207524,0.45201582839711674,0.1788059430850415,0.5035523679836688,0.24564542396122221,0.3694272503493485,0.12188232919505475,-0.1485533917499241,-0.2257711671152347,-0.06142062907503021,-0.4202220923436587,-0.6586791350087668,-0.15832846288720132,1215.0,0.001438118145914369,0.0034060692929550845,-0.2727272727272727,negative,-0.07142857142857142,negative,-0.4551083591331269,negative,3,True,False,-0.33081285444234404,0.021997800219978002,0.041245875412458756,19
a_kurtosis,29,59,0.1800907574668602,0.1040634012888117,0.2629243222289668,0.15886092094015508,0.0973976224667908,0.07389076426069416,0.1522953180832401,0.07840455382254594,0.24102441656950305,0.22334253362412254,0.12892926528496731,0.08998341711010563,-0.06574750286866321,-0.11961654697291624,-0.0231856496378285,-0.3980128579777908,-0.6236411455289305,-0.16306253652834599,1196.0,0.002542610294152754,0.005720873161843697,-0.18181818181818182,negative,-0.7285714285714285,negative,-0.4055727554179567,negative,3,True,False,-0.46313799621928164,0.0007999200079992001,0.0032724000327240006,20
