,a_mean,a_std,a_median,a_skew,a_kurtosis,b_dominant_freq,b_band_power_low,b_band_power_mid,b_band_power_high,b_spectral_entropy,b_spectral_flatness,c_avg_time_between_peaks,c_std_time_between_peaks,c_std_time_between_troughs,c_mean_peak_to_trough_time,c_mean_trough_to_peak_time,d_slope_magnitude,d_poly_mag_c0,d_poly_mag_c1,d_poly_mag_c2,d_poly_mag_c3,d_poly_peak_c0,d_poly_peak_c1,d_poly_peak_c2,d_poly_peak_c3,d_poly_trough_c0,d_poly_trough_c1,d_poly_trough_c2,d_poly_trough_c3,d_initial_magnitude,d_final_magnitude,d_initial_peak_to_trough_magnitude,d_final_peak_to_trough_magnitude,e_autocorr_lag1,e_autocorr_lagk,e_hurst_exponent,f_early_mean,f_late_mean,f_early_std,f_late_std,f_early_autocorr,f_late_autocorr,f_delta_mean,g_asymmetry_index,g_sharpness_index
Mov. 1 - Cell 18,0.6898948941105232,0.5462352588538703,0.7352069203590137,0.6058795269725832,0.0675878034783553,0.568421052631579,3.076138105618502e-33,0.009202322826586,0.1813004858421251,0.3268022846168419,0.121604394939406,0.3060556464811785,0.2856403611411532,0.2926191979572848,0.3076923076923077,0.2857142857142858,0.5479393842562637,0.5259026853247772,0.0888069049641148,1.0,0.0,0.6468561072696346,0.0981523761023631,1.0,0.0,0.5708659674476886,0.7328782421644456,0.0386044712896035,1.0,0.4135263842395362,0.131640188451846,0.4245512637450448,0.1331158123706276,0.1754691724123265,0.1847800745266734,0.3374618917459344,0.651493667446136,0.7476375749356912,0.3859409500921367,0.1231428103430995,0.0,0.3924725643586498,0.548656042381346,0.2767540751240256,0.462287374335843
Mov. 1 - Cell 20,0.6898948941105196,0.0661028813695272,0.6709986597896247,0.5422071651154152,0.0808639310508861,0.913684210526316,3.759016313046663e-33,0.0005106525607898,0.0127649418507527,0.549052079889055,0.5175694973066385,0.1894630192502533,0.2048667876545978,0.2079555790705949,0.1999999999999999,0.2142857142857142,0.7893870975695795,0.1384724114613018,0.4434572653407213,0.5980013731226005,0.4378464344144256,0.3443622330723692,0.336390532313345,0.6852330833210001,0.3620002633027101,0.8562580538832141,0.464035163805838,0.4068826078492407,0.6260624362226074,0.0541048850527878,0.079666922318396,0.0269281052601239,0.0831842262218013,0.1977722510363575,0.4248883478212765,0.0444566996589022,0.7069295386955323,0.732749991927931,0.0785559823532998,0.0373379856837718,0.2773042371804494,0.128212075201594,0.5008467584350158,0.3082329317269077,0.0513627154925268
Mov. 1 - Cell 21,0.6363159408694585,0.0935856711565261,0.6549973601916896,0.6402976355516891,0.0973274008280335,1.0,6.860643796199376e-34,0.0040482220537019,0.0213624615766941,0.2388461109767279,0.5232249775415827,0.0,0.0,0.0,0.125,0.0,0.7917023583821345,0.187967852627681,0.3840247153996756,0.6538857394159128,0.3859710353515727,0.4133688042150734,0.2553567562973415,0.764795421007582,0.2958119287113028,0.7937141758787185,0.535769613794062,0.3278828245862424,0.6970449420352104,0.0708800396358455,0.0899835652459734,0.0662775130147267,0.069290951829632,0.103401053958785,0.7765417437454534,0.5132049369117182,0.7381222153309395,0.6710820875442609,0.0908708772489012,0.0950104844819893,0.0348062025525879,0.5507295178167347,0.4432299647028896,0.1733601070950469,0.0725201636023086
Mov. 1 - Cell 23,0.6535364503088701,0.0940757424794048,0.7512894448280036,0.486304586436262,0.1746286018153603,0.6547368421052632,3.076138105618502e-33,0.0006442431002743,0.0452165144066849,0.4278455008768236,0.5221380428811013,0.3900709219858156,0.4164206612832944,0.4100735681608645,0.3333333333333332,0.4615384615384614,0.6372234991083776,0.2098306085613502,0.4550237287886146,0.5408060482815481,0.5169542339123993,0.3999369918345805,0.3387752805169353,0.6349813767501903,0.444218444332807,0.7685726815932372,0.4608489123548515,0.4695768377412463,0.5449907471291221,0.1069222570267248,0.1558891201928345,0.169821553488104,0.0554678454899486,0.3053331522754114,0.2930063528471881,0.51342569635742,0.6722829410050117,0.7221163884494093,0.156527362494593,0.0340426859294958,0.2828059167449242,0.1298508619071807,0.5192350638635763,0.4006024096385545,0.1087726004357631
Mov. 1 - Cell 24,0.8315083454178556,0.0351948231463314,0.7031230962920834,0.6053597144050628,0.1233550307637838,0.568421052631579,8.735491249679386e-33,0.0011627316025277,0.0271373731085165,0.7014234572919222,0.672164915829704,0.6085106382978724,0.3507825369939054,0.7256654533819864,0.5,0.7272727272727273,0.7148400098540836,0.1097401369831006,0.5367526227747513,0.4731941318019591,0.5795104834106493,0.2904202201488493,0.4532790981213583,0.5266570526080502,0.5395298711130249,0.8286756382341283,0.4413825716565777,0.4795258054188725,0.5350872588593878,0.0386416899994457,0.1281954640078886,0.1097638616338685,0.0776549836859279,0.3375722953236449,0.2651488776233267,0.1715386766051274,0.7242517417536538,0.7816667204804482,0.0380852736520445,0.0266608289717884,0.5857279992242205,0.419840909649787,0.5167831864171264,0.4612997444322748,0.0694927563931039
Mov. 1 - Cell 25,0.831508345417852,0.1036508011616025,0.8154773991796276,0.5082371733228952,0.1051082352392272,0.4821052631578947,3.019453879415969e-34,0.0091049240331842,0.0146951624258374,0.5621403391215707,0.3466326285623772,0.2860520094562648,0.2170723339410058,0.2926191979572848,0.0769230769230768,0.5384615384615385,0.7701510450902214,0.3354932575124193,0.2679287075101479,0.739992510527347,0.3208511408425435,0.515198275989877,0.2349593743507229,0.7466449515744233,0.3345595843758971,0.730136947548907,0.6207636197227069,0.2288056371829346,0.779723526289577,0.1674679670005507,0.1177824038566887,0.1014795000039298,0.1885766410553273,0.4033230653444233,0.2663692466799257,0.3546948401664225,0.7831524919295276,0.8178242011343935,0.1033628284550657,0.0925485309184841,0.4359217385907725,0.3495175754987083,0.4959430035421182,0.7650602409638558,0.0785520431176177
Mov. 1 - Cell 26,0.7663900327143054,0.0616400279142649,0.7031230962920834,0.5746694488697149,0.0927721832394897,0.5124324324324324,7.239431698877068e-34,0.0024443813698456,0.0,0.5991113826073429,0.2581724876413072,0.4326241134751776,0.4246684918329202,0.4118581886778301,0.5454545454545454,0.3333333333333332,0.756499444314304,0.217213459418583,0.3897991623877244,0.6286955424432408,0.4216979366319763,0.4404548775635777,0.2835873878570469,0.709267879618777,0.3608449541977818,0.7298025565947808,0.5975746543358567,0.2747786395725461,0.731972471525657,0.0605473397372167,0.1455067382491507,0.0517759501995109,0.1525278040907976,0.4762237647930823,0.237197388565457,0.2899531404635092,0.7987433513115478,0.7391296158772169,0.0799940981520055,0.0516645108622149,0.4646163515138095,0.2687124468925008,0.4395529239530281,0.1446964327899834,0.0574060624593858
Mov. 1 - Cell 7,0.7645292066366309,0.0589891814964818,0.671039272225153,0.5866504712427405,0.0973976224667908,0.3094736842105264,4.51018234121764e-33,0.004378084967461,0.0198406080456929,0.583536345842059,0.717068575655463,0.4326241134751776,0.42466849183292,0.2764386337382359,0.5,0.3636363636363635,0.7954526235872037,0.2907906414155396,0.2634520529554406,0.7674319039679942,0.2779382998985157,0.418987548618392,0.215895256795932,0.8368020136571448,0.1975131903271712,0.6624354390263696,0.675489957517179,0.1993961241580466,0.7875478129445411,0.1082097701055759,0.1836046893831484,0.0641972526939893,0.0859734063081077,0.5205968615224508,0.3304315488352127,0.4355524825397534,0.8004768865619241,0.739129615877216,0.0852197286003121,0.0248808884509086,0.4645210072920369,0.3021780690976833,0.4383262098099905,0.1955093099671413,0.0574060624593858
Mov. 1 - Cell 7.1,0.7365809351130359,0.104581725115055,0.6707781467073453,0.3892944250982623,0.3018206988824972,0.8273684210526316,2.17986045836904e-33,0.0563286807071204,0.073522350106739,0.809289522417671,0.7689983210255992,0.4940898345153663,0.8571351730554123,0.9233491602026446,0.6666666666666667,0.25,0.670182396221641,0.2612575445783492,0.3423084594160195,0.6795563383291005,0.3658313461692311,0.3527485035399014,0.4311221748441465,0.5227989101820086,0.5559371245260454,0.6591399234898314,0.726470514889047,0.0921619656111569,0.9136837504078712,0.1289951082939733,0.0,0.1352731390301766,0.0,0.7265308868786935,0.1119103749698104,1.0000000000000002,0.7840888088593125,0.7731614521111139,0.0919356510055537,0.0328973724214456,0.5685230351320184,0.6281156265273177,0.4695380438626421,0.0210843373493976,0.0682806601764915
Mov. 1 - Cell 9,0.3626519529582488,0.6835907942579939,0.4944564025504601,0.5532178764084063,0.0990711731631019,0.8273684210526316,1.5412759721687874e-32,0.0358441470018244,0.2615714320205347,0.6462752344336087,0.6055085183000536,0.3191489361702126,0.3091938489635831,0.5348474864093512,0.5,0.3333333333333332,0.1411390781144996,0.5802852733303767,0.3700111457324852,0.5496074252740345,0.5398657024200113,0.6649324129079157,0.4643242280146888,0.3758189163422278,0.7644691404128339,0.4112692429305999,0.6938862089272579,0.23842650012886,0.7396344921677166,0.6119240008735527,0.5716051276432559,0.8677436511450595,0.5934743711188296,0.3172657633351099,0.3037608321188622,0.3366149731724337,0.739842601135674,0.5200617782226384,0.5829926742368956,0.1167557891524963,0.4858697572880389,0.718289067802716,0.3549685799892069,0.1733601070950469,0.528764190971293
Mov. 1 - Cell 9.1,0.9963263034299992,0.1907080913817765,0.7462935775497073,0.4876631144381901,0.1314096776037994,0.6547368421052632,4.8000054554249434e-35,0.0385757763884942,0.038918318581175,0.7353674104768197,0.528274078771168,0.5460992907801421,0.8043503884066604,0.8363102365668521,0.5833333333333333,0.3636363636363635,0.8028641124367906,0.2637290807553933,0.3790463144649332,0.6098224490795696,0.4667933789344745,0.4205732517438267,0.3264986021694156,0.6503443535443524,0.4418008512712478,0.7307372189222099,0.5412773187774106,0.3888276928575886,0.5938788726660356,0.1518141720435147,0.280596033746028,0.1628215379322603,0.438164403746974,0.5288040198573227,0.3511893217852075,0.702725217286815,0.7903130352299792,0.8922648068623324,0.1122524526104579,0.250094879832081,0.5417422255597574,0.415642327035674,0.5337814653198253,0.143050671585865,0.1843048813118764
Mov. 1 - M,0.7607016197641912,0.4772057620481273,0.7031027900743201,0.6766761087268737,0.118942391178397,0.568421052631579,6.449983249193261e-33,0.0034499412731092,0.1960252526851537,0.6175262696697672,0.3972575011152121,0.3380614657210401,0.2909277836316066,0.2981612620668934,0.25,0.3846153846153846,0.6206897084013198,0.2952170247127453,0.4440268748718187,0.598197471048043,0.4253061956544571,0.5737818061513389,0.3017013517530723,0.6881405424751882,0.3702593451997432,0.7571417555328654,0.4606687896011904,0.3847938121933312,0.6726661104592397,0.2202902282646604,0.388000438260107,0.4763272139445559,0.3910290144897029,0.3811725263997547,0.331432545111982,0.4755214670911953,0.8559105662370445,0.6604350306200404,0.4099991463353203,0.1601291761436346,0.3555789702324745,0.4815503234388533,0.3537418658461693,0.413253012048193,0.4230113527770344
Mov. 1 - N,0.7721843803815247,0.7063392990476441,0.7512894448280036,0.6353891263033601,0.1555100346167665,1.0,1.437230407790915e-33,0.0175808433751075,0.1908980418225586,0.2472807547983384,0.2467499341538856,0.2100381887615932,0.2912371447098555,0.2095927923936682,0.1538461538461537,0.2857142857142858,0.1217380762441457,0.492783983049489,0.522459393223886,0.3432445324297416,0.7870773833480722,0.9973637021496398,0.1362634873772855,0.7025838258217606,0.4395686538081725,0.8417403208953935,0.1060149994091126,0.9879288518561682,0.0,0.6531456063208739,0.7656053467733102,0.8594592895151209,0.5241448268603307,0.0409854749355853,0.8575463212738849,0.1250549282339172,0.8940242344283167,0.6157695909076217,0.6296434919652587,0.2516224586393953,0.1177294570615662,0.4972805114411167,0.301027276167317,0.4204819277108438,0.607323879056611
Mov. 1 - O,0.1926507674295301,0.9251502771790928,0.6068107054380025,0.3900960013141045,0.3823582752455438,0.7266666666666667,8.024708101613481e-35,0.1644965989867725,0.4439694538469757,0.7277541084617871,0.5949980735843591,0.3900709219858156,0.1855148644500924,0.3842685291493615,0.3333333333333332,0.4166666666666667,0.307626674588488,0.5610550340500469,0.2996199879935366,0.6501505796095787,0.4274801218607618,0.4607915705706045,0.6599100636610079,0.1569842065916306,0.9933025543160874,0.4856798216003344,0.7201882526362408,0.138331737711094,0.8635651093929249,0.5075751402411395,0.4295694094445051,0.8325390441806415,0.3743816440374697,0.323573776773832,0.168351176342931,0.5078774647339142,0.8559105662370445,0.2669594136450213,0.7443456422943987,0.7160484622329324,0.0213995219771412,0.4253911674911103,0.1269532825071493,0.3637048192771088,0.7795497114024693
Mov. 1 - cell 16.1,0.8606612543939463,0.2516169883765591,0.670487732612413,0.5744774926860593,0.1674667185828047,0.4821052631578947,2.0804963442022475e-34,0.0279336149133347,0.0785951100596745,0.5526657362428145,0.0910936259077203,0.6028368794326242,0.7805219742032862,0.8308650381843382,0.4545454545454546,0.6363636363636365,0.5921906883933279,0.478855549363497,0.1817278096964839,0.7966249209377874,0.278803125871986,0.5683229626540429,0.2775566083637617,0.6566662666511645,0.4515327457466898,0.5024118807913462,0.8452051411866885,0.0,0.9717721415191476,0.3115476182902911,0.1143157664073628,0.3556603302468425,0.3189243237553942,0.4504976787437242,0.2937688969618106,0.4631380686359503,0.8338826198246476,0.7029721352232725,0.2579024256661235,0.2129135433507235,0.4354737196706723,0.3931747486126922,0.393846885219804,0.4322289156626506,0.2285486900616076
Mov. 2 - 15 (purple),0.6601630571428707,0.4024642731718072,0.5426227510863804,0.6895931134797323,0.1371239175836755,0.88,8.447345910812084e-35,0.0539598077740096,0.0358585723553594,0.3875724064851162,0.2650017799064736,0.4500818330605567,0.4880378387093377,0.7556451947004136,0.3571428571428572,0.4615384615384614,0.7143053731278018,0.2822687512552969,0.374600252944075,0.6854653228230767,0.3392408684990824,0.3087842869747508,0.4956328783833299,0.5478339553548279,0.460783935351825,0.6649838464972779,0.6421450177699446,0.1911809904192731,0.8154682304460668,0.1326871864742676,0.072751177824038,0.2360938265524006,0.1774900887625863,0.2977800878324995,0.2134725748106293,0.58995696957366,0.6376341517402206,0.5285697372811127,0.2429693551963798,0.2192849422651266,0.486212906746768,0.3164251358277086,0.4321988424533043,0.3795180722891567,0.3384083177248576
Mov. 2 - 15 (white),0.7665819118162354,0.3573508988487508,0.6389148357226961,0.549078429854072,0.1090098363873529,0.8000000000000002,7.5031418564289e-33,0.0155244456236147,0.0846613129894346,0.4934037282870207,0.4407012372392794,0.4940898345153663,0.4959031195137963,0.3157196205909155,0.3846153846153846,0.4615384615384614,0.720762337992427,0.3076366183424543,0.4126919953433816,0.5777488412080558,0.4897611505732697,0.4105122371990504,0.3779635603996434,0.6227709480316315,0.4413568040652979,0.601934130271216,0.5838336265444853,0.3780789225178049,0.5882125542529668,0.2293044495800097,0.6131740988276536,0.3023608596662672,0.393800652562888,0.2253763424309028,0.4069732973330976,0.3601751225291714,0.777954077752673,0.6583066955108539,0.3207912632352487,0.2397147077672659,0.1614211011502515,0.2860280676247256,0.4076800679888094,0.3560910307898262,0.2991284736821986
